[2025-08-27 21:28:25,190] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:36:onConnection] 127.0.0.1:8888->127.0.0.1:51222 has connected.
[2025-08-27 21:29:01,205] [WARN] : [/home/zhang/SearchEngine/src/main.cpp:13:signalHandler] Caught signal 2, stopping server...
[2025-08-27 21:29:01,205] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:30:stop] SearchEngineServer stop ...
[2025-08-27 21:33:05,149] [INFO] : [/home/zhang/SearchEngine/src/main.cpp:31:main] Starting SearchEngineServer on 127.0.0.1:8888
[2025-08-27 21:33:05,150] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:22:start] SearchEngineServer start ...
[2025-08-27 21:33:11,285] [INFO] : [/home/zhang/SearchEngine/src/Acceptor.cpp:48:accept] new connection fd=8
[2025-08-27 21:33:11,285] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:213:handleNewConnection] Accepted new connection fd=8
[2025-08-27 21:33:11,285] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:36:onConnection] 127.0.0.1:8888->127.0.0.1:52308 has connected.
[2025-08-27 21:33:24,503] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:84:receive] Received packet length=2
[2025-08-27 21:33:24,503] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:45:onMessage] received msg size=10
[2025-08-27 21:33:24,503] [DEBUG] : [/home/zhang/SearchEngine/src/EventLoop.cpp:252:handleMessage] message from fd=8
[2025-08-27 21:33:25,297] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:101:send] send success size=10
[2025-08-27 21:33:49,514] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:84:receive] Received packet length=4
[2025-08-27 21:33:49,515] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:45:onMessage] received msg size=12
[2025-08-27 21:33:49,515] [DEBUG] : [/home/zhang/SearchEngine/src/EventLoop.cpp:252:handleMessage] message from fd=8
[2025-08-27 21:33:50,357] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:94:doTaskThread] Query result sent to client
[2025-08-27 21:33:50,358] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:101:send] send success size=500
[2025-08-27 21:40:10,570] [WARN] : [/home/zhang/SearchEngine/src/main.cpp:13:signalHandler] Caught signal 2, stopping server...
[2025-08-27 21:40:10,571] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:30:stop] SearchEngineServer stop ...
[2025-08-27 21:40:17,939] [INFO] : [/home/zhang/SearchEngine/src/main.cpp:31:main] Starting SearchEngineServer on 127.0.0.1:8888
[2025-08-27 21:40:17,939] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:22:start] SearchEngineServer start ...
[2025-08-27 21:40:19,629] [INFO] : [/home/zhang/SearchEngine/src/Acceptor.cpp:48:accept] new connection fd=8
[2025-08-27 21:40:19,629] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:213:handleNewConnection] Accepted new connection fd=8
[2025-08-27 21:40:19,629] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:36:onConnection] 127.0.0.1:8888->127.0.0.1:50782 has connected.
[2025-08-27 21:40:33,433] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:84:receive] Received packet length=4
[2025-08-27 21:40:33,433] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:45:onMessage] received msg size=12
[2025-08-27 21:40:33,433] [DEBUG] : [/home/zhang/SearchEngine/src/EventLoop.cpp:252:handleMessage] message from fd=8
[2025-08-27 21:40:34,320] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:94:doTaskThread] Query result sent to client
[2025-08-27 21:40:34,320] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:101:send] send success size=500
[2025-08-27 21:40:41,570] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:57:onClose] 127.0.0.1:8888->127.0.0.1:50782 has closed.
[2025-08-27 21:40:41,570] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:247:handleMessage] connection closed fd=8
[2025-08-27 21:41:04,276] [INFO] : [/home/zhang/SearchEngine/src/Acceptor.cpp:48:accept] new connection fd=8
[2025-08-27 21:41:04,276] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:213:handleNewConnection] Accepted new connection fd=8
[2025-08-27 21:41:04,276] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:36:onConnection] 127.0.0.1:8888->127.0.0.1:51252 has connected.
[2025-08-27 21:41:23,669] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:57:onClose] 127.0.0.1:8888->127.0.0.1:51252 has closed.
[2025-08-27 21:41:23,670] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:247:handleMessage] connection closed fd=8
[2025-08-27 21:41:31,763] [INFO] : [/home/zhang/SearchEngine/src/Acceptor.cpp:48:accept] new connection fd=8
[2025-08-27 21:41:31,763] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:213:handleNewConnection] Accepted new connection fd=8
[2025-08-27 21:41:31,764] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:36:onConnection] 127.0.0.1:8888->127.0.0.1:34246 has connected.
[2025-08-27 21:41:36,583] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:84:receive] Received packet length=5
[2025-08-27 21:41:36,583] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:45:onMessage] received msg size=13
[2025-08-27 21:41:36,583] [DEBUG] : [/home/zhang/SearchEngine/src/EventLoop.cpp:252:handleMessage] message from fd=8
[2025-08-27 21:41:37,337] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:101:send] send success size=10
[2025-08-27 21:41:46,082] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:84:receive] Received packet length=4
[2025-08-27 21:41:46,082] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:45:onMessage] received msg size=12
[2025-08-27 21:41:46,082] [DEBUG] : [/home/zhang/SearchEngine/src/EventLoop.cpp:252:handleMessage] message from fd=8
[2025-08-27 21:41:46,935] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:94:doTaskThread] Query result sent to client
